County Name,Median Home Price,FIPS,Population,Median Income,Housing Affordability Index,Classification
"Nantucket County, Massachusetts",1705210,25019,13795,116571,6.836166806434398,Rural
"San Mateo County, California",1701860,6081,762488,136837,8.040438108892625,Urban
"Santa Clara County, California",1664410,6085,1932022,140258,8.426890009072284,Urban
"Marin County, California",1584980,6041,262387,131008,8.265593256697246,Urban
"San Francisco County, California",1575700,6075,865933,126187,8.008313765310655,Urban
"Teton County, Wyoming",1311740,56039,23319,94498,7.204019089148764,Rural
"New York County, New York",1193370,36061,1669127,93956,7.873165908,Urban
"Alameda County, California",1158980,6001,1673133,112017,9.665136586,Urban
"Santa Cruz County, California",1128000,6087,272138,96093,8.518882978723404,Suburban
"Orange County, California",1096420,6059,3182923,100485,9.164827347184474,Urban
"Maui County, Hawaii",1085900,15009,164568,88249,8.126807256653468,Suburban
"Falls Church city, Virginia",1036460,51610,14494,155071,14.961600061748644,Urban
"Pitkin County, Colorado",1029390,8097,17471,92708,9.006110414905915,Rural
"San Diego County, California",1023450,6073,3296317,88240,8.621818359470419,Urban
"Kauai County, Hawaii",1013980,15007,73247,86287,8.50973392,Rural
"Honolulu County, Hawaii",1007420,15003,1015167,92600,9.191796867245042,Suburban
"Kings County, New York",1006160,36047,2712360,67753,6.733819670827701,Urban
"Summit County, Utah",998780,49043,42156,116351,11.64931216083622,Rural
"King County, Washington",982130,53033,2240876,106326,10.826061722989827,Urban
"Monroe County, Florida",974720,12087,82244,73153,7.505027084701248,Rural
"Santa Barbara County, California",964030,6083,447651,84356,8.750350092839435,Suburban
"Arlington County, Virginia",963630,51013,235764,128145,13.29815385573301,Urban
"Los Angeles County, California",948880,6037,10019635,76367,8.048119888710902,Urban
"Napa County, California",946580,6055,138795,97498,10.300027467303345,Suburban
"Contra Costa County, California",941390,6013,1161643,110455,11.733181784382667,Urban
"San Luis Obispo County, California",937390,6079,282771,82514,8.802526163,Suburban
"Summit County, Colorado",904790,8117,31042,93505,10.33444224626709,Rural
"Ventura County, California",904670,6111,845255,94150,10.407109774835025,Suburban
"Eagle County, Colorado",902670,8037,55693,91338,10.118648010900994,Rural
"Williamson County, Tennessee",895960,47187,242386,116492,13.001919728559312,Urban
"San Benito County, California",893010,6069,63329,95606,10.706039126101611,Urban
"Monterey County, California",877380,6053,438953,82013,9.347489115320611,Suburban
"Boulder County, Colorado",870200,8013,328713,92466,10.62583314180648,Suburban
"Gallatin County, Montana",857280,30031,116725,76208,8.889511012,Rural
"Sonoma County, California",853750,6097,492498,91607,10.72995608,Suburban
"Middlesex County, Massachusetts",851690,25017,1623411,111790,13.125667789923565,Urban
"Suffolk County, Massachusetts",846770,25025,792647,80260,9.47837075,Urban
"District of Columbia, District of Columbia",828250,11001,683154,93547,11.29453667370963,Urban
"Douglas County, Colorado",826460,8035,351929,127443,15.420347022239431,Urban
"Queens County, New York",814270,36081,2393104,75886,9.319513183587754,Urban
"Routt County, Colorado",804290,8107,24899,83725,10.409802434445286,Rural
"Snohomish County, Washington",801830,53061,820024,95618,11.924971627402318,Urban
"Loudoun County, Virginia",801670,51107,413574,156821,19.561789763867925,Urban
"Norfolk County, Massachusetts",801300,25021,720403,112089,13.988393859977537,Urban
"Fairfax County, Virginia",799690,51059,1146825,133974,16.753241881228973,Urban
"Placer County, California",787530,6061,400330,99734,12.664152476731044,Urban
"Nassau County, New York",786110,36059,1391678,126576,16.101563394435896,Urban
"San Juan County, Washington",782830,53055,17631,68577,8.760139494,Rural
"Alexandria city, Virginia",779540,51510,158185,105450,13.527208353644458,Urban
"Richmond County, New York",767970,36085,493194,89427,11.644595492011408,Urban
"El Dorado County, California",764430,6017,190568,88770,11.61257407480083,Urban
"Blaine County, Idaho",757380,16013,23868,71749,9.473315904829809,Rural
"Broomfield County, Colorado",755410,8014,72697,107570,14.239949166677698,Urban
"Westchester County, New York",751990,36119,999723,105387,14.014415085306986,Urban
"Deschutes County, Oregon",750760,41017,194964,74082,9.867600831,Suburban
"Ouray County, Colorado",744240,8091,4850,67228,9.033107599699022,Rural
